,filename,cgpa,sgpa
417,/content/btech/found/23011403004_1800266016.html,3.30,3.30
418,/content/btech/found/20010305033_1800265905.html,7.80,7.85
419,/content/btech/found/21010101061_1800265813.html,6.10,6.63
420,/content/btech/found/22010603069_1800266009.html,1.94444444444444,2.625
421,/content/btech/found/22010103009_1800266005.html,7.40,6.68
422,/content/btech/found/20011103014_1800265284.html,7.83,7.35
423,/content/btech/found/22011303013_1800266007.html,4.02,4.21
424,/content/btech/found/22021005007_1800265531.html,8.25,8.25
425,/content/btech/found/22021005011_1800265903.html,4.52,3.60
426,/content/btech/found/23010304002_1800265989.html,5.43,5.43
427,/content/btech/found/21020205016_1800265275.html,7.73,7.46
428,/content/btech/found/22010103066_1800265783.html,7.48,7.29
429,/content/btech/found/21011003018_1800265589.html,5.36,3.71
430,/content/btech/found/20011203005_1800266008.html,6.68918918918919,5.30769230769231
431,/content/btech/found/21010101030_1800265787.html,2.75,2.92
432,/content/btech/found/20010101041_1800265788.html,5.92,3.85
433,/content/btech/found/20010101039_1800265790.html,6.34,4.67
434,/content/btech/found/20011103013_1800265762.html,6.89,7.19
435,/content/btech/found/20011005002_1800265532.html,5.67,3.76
436,/content/btech/found/21011303011_1800266010.html,5.11224489795918,5.38461538461539
437,/content/btech/found/22010305040_1800265901.html,2.99,3.69
438,/content/btech/found/23010101003_1800265991.html,3.00,3.00
439,/content/btech/found/22011403013_1800265587.html,4.58,4.58
440,/content/btech/found/22021101001_1800265468.html,4.54,4.54
441,/content/btech/found/22010103071_1800266003.html,4.71,4.71
442,/content/btech/found/21010603031_1800265299.html,6.46,5.63
443,/content/btech/found/21010603037_1800265589.html,5.47,3.00
444,/content/btech/found/22011503003_1800265758.html,2.23,1.38
445,/content/btech/found/21010204005_1800265816.html,3.64,2.67
446,/content/btech/found/22010301049_1800265467.html,8.04,8.04
447,/content/btech/found/21011101001_1800265468.html,6.09,6.23
448,/content/btech/found/23010204022_1800265989.html,5.48,5.48
449,/content/btech/found/20010401033_1800265469.html,5.57,5.38
450,/content/btech/found/21010501057_1800265928.html,5.04,5.04
451,/content/btech/found/21010501020_1800265291.html,7.33,7.42
452,/content/btech/found/23020903002_1800266009.html,7.08333333333333,7.08333333333333
453,/content/btech/found/22010501023_1800265930.html,2.65,3.23
454,/content/btech/found/23015103030_1800266016.html,6.09,6.09
455,/content/btech/found/21011201001_1800265329.html,3.67,3.67
